35,051 
35,303 
29,753 
33,162 
30,080 
43,024 
37,578 
50,121 
53,420 
52,944 
54,154 
62,656 
53,772 
49,022 
37,838 
22,854 
28,372 
38,884 
32,925 
32,323 
32,659 
30,460 
28,690 
24,798 
38,487 
48,955 
30,731 
51,081 
47,195 
49,161 
36,956 
27,582 
21,425 
28,722 
35,925 
30,372 
30,465
33,891 
40,107 
33,782 
50,906 
28,429 
46,172 
32,117 
29,810 
37,377 
54,449 
23,291 
28,638 
40,310 
24,957 
57,668 
53,780 
67,738 
37,833 
27,461 
55,128 
30,441 
32,050 
69,302 
35,394 
51,593 
36,861 
26,169 
37,700 
34,381 
34,843 
30,286 
33,568
